Subject ID Number	Age (years)	Height (inches)	Weight (pounds)
1359	18	132 	96 
1360	4	36 	48 
1361	14	164 	66 
1362	12	60 	144 
1363	15	174 	84 
1364	12	108 	132 
1365	8	32 	32 
1366	12	84 	84 
1367	10	104 	104 
1368	18	168 	132 
1369	16	40 	88 
1370	5	39 	69 
1371	3	48 	27 
1372	6	36 	72 
1373	15	159 	159 
1374	7	87 	52 
1375	2	34 	38 
1376	7	73 	38 
1377	17	194 	160 
1378	4	32 	40 
1379	8	104 	80 
1380	3	51 	45 
1381	18	78 	132 
1382	12	72 	48 
1383	11	112 	90 
1384	2	36 	38 
1385	7	80 	31 
1386	5	59 	44 
1387	18	132 	204 
1388	7	94 	38 
1389	8	80 	96 
1390	11	35 	57 
1391	3	42 	39 
1392	4	32 	32 
1393	9	69 	87 
1394	12	108 	144 
1395	14	122 	122 
1396	15	69 	99 
1397	17	92 	194 
1398	1	31 	33 
1399	11	57 	123 
1400	7	45 	31 
1401	9	69 	105 
1402	2	36 	40 
1403	3	45 	42 
1404	13	128 	37 
1405	10	124 	94 
1406	13	128 	89 
1407	9	105 	69 
1408	7	38 	45 
1409	17	109 	126 
1410	2	36 	32 
1411	2	32 	28 
1412	7	59 	45 
1413	14	150 	150 
1414	12	132 	132 
1415	13	50 	115 
1416	17	109 	92 
1417	7	94 	94 
1418	11	90 	101 
1419	8	80 	56 
1420	9	105 	96 
1421	9	87 	42 
1422	11	68 	123 
1423	10	104 	64 
1424	15	129 	174 
1425	18	42 	114 
1426	11	90 	90 
1427	7	59 	31 
1428	14	94 	38 
1429	16	40 	168 
1430	18	204 	132 
1431	10	114 	54 
1432	8	64 	48 
1433	5	74 	44 
1434	12	84 	120 
1435	2	38 	44 
1436	16	120 	120 
1437	8	64 	40 
1438	2	32 	36 
1439	2	42 	44 
1440	18	132 	114 
1441	12	72 	144 
1442	16	104 	40 
1443	11	68 	101 
1444	8	72 	56 
1445	5	29 	44 
1446	18	60 	168 
1447	18	42 	150 
1448	5	54 	54 
1449	15	144 	84 
1450	7	66 	59 
1451	13	102 	76 
1452	4	32 	64 
1453	17	143 	109 
1454	2	40 	38 
1455	7	31 	31 
1456	4	28 	60 
1457	12	144 	144 
1458	7	52 	87 
1459	9	60 	78 
1460	7	52 	94 
1461	11	123 	79 
1462	6	30 	36 
1463	18	150 	204 
1464	4	40 	56 
1465	13	63 	141 
1466	1	26 	28 
1467	6	84 	30 
1468	18	150 	60 
1469	12	72 	84 
1470	16	40 	184 
1471	2	32 	34 
1472	4	56 	32 
1473	18	60 	114 
1474	10	64 	44 
1475	18	168 	132 
1476	7	94 	94 
1477	2	42 	34 
1478	15	54 	69 
1479	8	88 	32 
1480	17	92 	177 
1481	4	32 	64 
1482	13	141 	115 
1483	3	30 	54 
1484	16	184 	72 
1485	5	29 	49 
1486	1	30 	31 
1487	18	60 	168 
1488	16	56 	120 
1489	1	26 	31 
1490	4	40 	36 
1491	5	34 	74 
1492	12	72 	132 
1493	7	52 	87 
1494	15	114 	159 
1495	9	105 	78 
1496	1	25 	32 
1497	3	42 	33 
1498	10	124 	84 
1499	7	66 	45 
1500	9	33 	60 
1501	15	39 	99 
1502	9	69 	33 
1503	5	39 	54 
1504	6	72 	60 
1505	5	59 	34 
1506	9	51 	87 
1507	11	134 	90 
1508	2	40 	40 
1509	15	129 	39 
1510	14	164 	66 
1511	15	129 	114 
1512	13	128 	63 
1513	15	129 	114 
1514	3	33 	51 
1515	8	48 	40 
1516	16	88 	152 
1517	12	60 	144 
1518	9	96 	96 
1519	14	38 	150 
1520	3	45 	45 
1521	16	104 	104 
1522	15	99 	144 
1523	12	60 	84 
1524	7	59 	31 
1525	11	46 	46 
1526	3	48 	33 
1527	2	30 	40 
1528	11	123 	90 
1529	10	114 	34 
1530	1	31 	32 
1531	18	150 	42 
1532	1	25 	32 
1533	6	30 	30 
1534	6	30 	36 
1535	14	66 	136 
1536	12	120 	48 
1537	17	126 	41 
1538	12	48 	60 
1539	8	32 	72 
1540	10	84 	54 
1541	12	72 	72 
1542	6	60 	42 
1543	9	51 	51 
1544	9	42 	87 
1545	7	38 	80 
1546	16	104 	56 
1547	10	74 	74 
1548	5	34 	54 
1549	14	52 	94 
1550	9	60 	87 
1551	3	27 	27 
1552	2	34 	40 
1553	14	122 	52 
1554	4	28 	60 
1555	2	38 	26 
1556	12	108 	120 
1557	10	104 	34 
1558	1	26 	34 
1559	8	88 	40 
1560	12	144 	48 
1561	4	56 	52 
1562	15	159 	54 
1563	6	66 	30 
1564	1	29 	29 
1565	17	143 	126 
1566	8	96 	56 
1567	16	40 	40 
1568	11	134 	112 
1569	8	96 	104 
1570	17	109 	41 
1571	2	38 	38 
1572	10	34 	124 
1573	15	69 	144 
1574	16	88 	136 
1575	8	32 	48 
1576	12	96 	72 
1577	14	164 	136 
1578	4	32 	28 
1579	15	159 	129 
1580	10	54 	104 
1581	4	48 	44 
1582	7	38 	31 
1583	12	84 	60 
1584	8	64 	64 
1585	14	52 	108 
1586	16	152 	72 
1587	3	39 	51 
1588	11	68 	35 
1589	4	36 	40 
1590	8	64 	80 
1591	2	38 	40 
1592	18	60 	60 
1593	9	105 	33 
1594	1	26 	33 
1595	9	78 	51 
1596	7	45 	73 
1597	17	177 	58 
1598	2	28 	36 
1599	6	60 	30 
1600	8	56 	56 
1601	9	60 	87 
1602	13	102 	141 
1603	1	29 	25 
1604	1	29 	28 
1605	4	52 	40 
1606	8	96 	80 
1607	6	42 	84 
1608	18	78 	42 
1609	15	54 	84 
1610	15	84 	159 
1611	16	56 	72 
1612	3	45 	36 
1613	8	48 	80 
1614	1	28 	26 
1615	18	96 	96 
1616	13	154 	141 
1617	5	34 	69 
1618	16	72 	40 
1619	2	38 	34 
1620	13	63 	102 
1621	8	104 	88 
1622	18	132 	150 
1623	9	114 	87 
1624	11	68 	101 
1625	11	57 	35 
1626	18	78 	60 
1627	18	168 	186 
1628	5	59 	39 
1629	17	75 	126 
1630	18	204 	186 
1631	9	51 	114 
1632	18	186 	132 
1633	18	96 	78 
1634	16	88 	104 
1635	18	150 	186 
1636	15	84 	144 
1637	3	36 	42 
1638	1	26 	25 
1639	15	174 	114 
1640	13	63 	89 
1641	18	60 	96 
1642	5	34 	34 
1643	12	96 	36 
1644	18	150 	132 
1645	7	66 	94 
1646	12	108 	84 
1647	10	54 	104 
1648	3	45 	45 
1649	5	39 	39 
1650	14	136 	122 
1651	14	136 	38 
1652	12	72 	144 
1653	1	28 	25 
1654	7	66 	66 
1655	15	114 	54 
1656	7	73 	66 
1657	18	42 	168 
1658	6	54 	66 
1659	2	44 	28 
1660	11	35 	123 
1661	5	39 	54 
1662	16	56 	120 
1663	12	84 	60 
1664	3	33 	48 
1665	12	72 	132 
1666	6	54 	84 
1667	2	42 	28 
1668	14	122 	122 
1669	5	49 	49 
1670	18	204 	168 
1671	6	60 	72 
1672	18	186 	60 
1673	15	99 	69 
1674	4	40 	28 
1675	13	115 	154 
1676	7	94 	87 
1677	17	58 	75 
1678	9	33 	51 
1679	17	177 	177 
1680	2	38 	34 
1681	15	54 	114 
1682	3	27 	39 
1683	14	136 	38 
1684	1	32 	27 
1685	2	38 	38 
1686	15	144 	39 
1687	5	64 	74 
1688	6	48 	42 
1689	13	76 	128 
1690	10	64 	94 
1691	10	34 	64 
1692	3	48 	51 
1693	12	96 	120 
1694	5	29 	64 
1695	4	56 	48 
1696	16	56 	72 
1697	18	132 	114 
1698	18	42 	150 
1699	1	32 	34 
1700	3	48 	39 
1701	15	114 	174 
1702	17	41 	143 
1703	5	34 	44 
1704	7	52 	87 
1705	9	114 	69 
1706	8	96 	40 
1707	5	49 	59 
1708	12	48 	96 
1709	14	150 	52 
1710	6	60 	48 
1711	17	92 	126 
1712	10	44 	84 
1713	10	74 	114 
1714	9	33 	87 
1715	1	25 	27 
1716	18	60 	96 
1717	2	26 	30 
1718	10	64 	94 
1719	12	132 	60 
1720	17	92 	194 
1721	18	132 	150 
1722	16	56 	136 
1723	15	99 	69 
1724	1	33 	31 
1725	8	64 	96 
1726	18	186 	114 
1727	7	45 	31 
1728	8	64 	40 
1729	11	79 	123 
1730	8	64 	96 
1731	18	186 	204 
1732	8	96 	72 
1733	6	54 	30 
1734	8	80 	56 
1735	8	48 	48 
1736	8	56 	72 
1737	12	108 	96 
1738	14	108 	52 
1739	3	33 	51 
1740	11	79 	57 
1741	18	150 	186 
1742	11	35 	134 
1743	1	34 	27 
1744	4	56 	32 
1745	4	32 	44 
1746	11	90 	68 
1747	7	80 	94 
1748	5	44 	74 
1749	10	114 	104 
1750	16	56 	72 
1751	10	84 	124 
1752	9	33 	51 
1753	8	32 	32 
1754	11	123 	90 
1755	17	109 	177 
1756	2	38 	30 
1757	13	76 	115 
1758	4	52 	36 
1759	7	52 	38 
1760	6	54 	36 
1761	16	168 	152 
1762	16	56 	184 
1763	9	105 	33 
1764	14	164 	38 
1765	7	73 	38 
1766	1	26 	32 
1767	10	54 	114 
1768	4	48 	28 
1769	16	104 	168 
1770	6	72 	72 
1771	16	88 	88 
1772	12	96 	144 
1773	17	58 	41 
1774	7	45 	59 
1775	13	89 	89 
1776	3	27 	36 
1777	4	60 	40 
1778	7	87 	66 
1779	4	56 	36 
1780	12	144 	60 
1781	16	72 	104 
1782	7	73 	59 
1783	10	44 	64 
1784	7	52 	87 
1785	7	94 	31 
1786	14	122 	66 
1787	10	104 	64 
1788	6	48 	66 
1789	5	54 	64 
1790	16	152 	120 
1791	1	27 	27 
1792	11	35 	134 
1793	8	96 	104 
1794	11	35 	134 
1795	16	120 	184 
1796	10	64 	84 
1797	17	41 	177 
1798	13	63 	115 
1799	16	168 	184 
1800	15	54 	129 
1801	6	30 	54 
1802	6	30 	36 
1803	18	42 	42 
1804	3	27 	48 
1805	16	168 	56 
1806	5	39 	59 
1807	7	52 	73 
1808	5	29 	59 
1809	2	34 	32 
1810	7	87 	66 
1811	3	36 	45 
1812	10	114 	54 
1813	9	33 	78 
1814	5	44 	74 
1815	3	36 	54 
1816	1	32 	32 
1817	13	63 	128 
1818	2	44 	38 
1819	12	144 	48 
1820	12	60 	96 
1821	16	184 	168 
1822	18	186 	186 
1823	17	160 	109 
1824	9	42 	96 
1825	3	54 	45 
1826	17	177 	58 
1827	6	72 	36 
1828	13	154 	50 
1829	6	78 	54 
1830	13	115 	37 
1831	6	48 	60 
1832	6	54 	66 
1833	9	33 	78 
1834	1	27 	27 
1835	8	32 	80 
1836	3	30 	42 
1837	5	69 	59 
1838	17	58 	109 
1839	3	45 	54 
1840	11	101 	112 
1841	15	84 	159 
1842	7	66 	45 
1843	12	60 	60 
1844	9	60 	87 
1845	16	168 	136 
1846	6	54 	66 
1847	18	204 	114 
1848	12	84 	144 
1849	18	186 	96 
1850	18	168 	150 
1851	3	42 	36 
1852	5	69 	39 
1853	14	108 	38 
1854	2	42 	42 
1855	5	34 	34 
1856	2	32 	42 
1857	1	34 	33 
1858	17	126 	75 
1859	10	34 	44 
1860	10	94 	124 
1861	16	168 	136 
1862	13	102 	128 
1863	12	48 	144 
1864	14	136 	136 
1865	10	94 	64 
1866	8	56 	72 
1867	16	104 	152 
1868	2	28 	38 
1869	15	114 	69 
1870	14	122 	94 
1871	17	75 	177 
1872	8	32 	56 
1873	4	56 	56 
1874	11	68 	46 
1875	10	44 	44 
1876	1	29 	28 
1877	13	128 	76 
1878	18	204 	186 
1879	6	48 	72 
1880	18	42 	150 
1881	6	48 	66 
1882	13	102 	89 
1883	18	132 	186 
1884	16	104 	136 
1885	12	132 	108 
1886	9	51 	69 
1887	16	120 	40 
1888	8	104 	88 
1889	15	39 	144 
1890	10	34 	34 
1891	12	132 	108 
1892	10	114 	124 
1893	8	80 	64 
1894	13	141 	115 
1895	5	34 	39 
1896	10	84 	54 
1897	6	36 	84 
1898	7	59 	80 
1899	18	204 	132 
1900	18	150 	150 
1901	3	42 	48 
1902	11	68 	112 
1903	15	54 	69 
1904	17	160 	194 
1905	6	54 	36 
1906	18	78 	204 
1907	15	99 	69 
1908	6	66 	66 
1909	6	60 	84 
1910	11	79 	112 
1911	4	36 	36 
1912	8	32 	40 
1913	14	136 	136 
1914	13	63 	154 
1915	1	29 	33 
1916	17	58 	109 
1917	2	32 	30 
1918	7	80 	66 
1919	2	26 	26 
1920	10	74 	34 
1921	14	80 	122 
1922	14	164 	80 
1923	1	28 	34 
1924	6	48 	84 
1925	9	96 	51 
1926	7	80 	38 
1927	5	74 	34 
1928	12	132 	84 
1929	8	64 	40 
1930	17	126 	126 
1931	8	80 	64 
1932	12	108 	144 
1933	17	126 	58 
1934	2	42 	30 
1935	5	54 	39 
1936	2	40 	34 
1937	16	152 	168 
1938	11	79 	90 
1939	13	50 	76 
1940	5	59 	39 
1941	2	40 	28 
1942	6	72 	36 
1943	7	87 	59 
1944	11	35 	35 
1945	1	32 	31 
1946	9	78 	51 
1947	3	48 	48 
1948	15	159 	69 
1949	11	112 	134 
1950	5	49 	54 
1951	5	69 	34 
1952	14	80 	94 
1953	9	51 	33 
1954	9	51 	42 
1955	14	108 	108 
1956	13	76 	141 
1957	17	177 	75 
1958	11	123 	123 
1959	18	96 	114 
1960	1	34 	26 
1961	2	32 	30 
1962	18	150 	42 
1963	13	154 	128 
1964	4	52 	56 
1965	14	150 	94 
1966	9	96 	42 
1967	2	44 	26 
1968	18	204 	78 
1969	13	141 	154 
1970	14	122 	122 
1971	14	80 	136 
1972	5	34 	54 
1973	6	84 	78 
1974	12	84 	120 
1975	12	132 	108 
1976	9	114 	114 
1977	1	25 	32 
1978	9	69 	69 
1979	5	39 	39 
1980	17	58 	41 
1981	5	34 	64 
1982	1	34 	32 
1983	12	120 	72 
1984	7	45 	73 
1985	16	184 	56 
1986	2	40 	26 
1987	7	38 	73 
1988	6	30 	48 
1989	9	42 	87 
1990	4	52 	64 
1991	12	72 	132 
1992	8	96 	56 
1993	15	54 	84 
1994	3	45 	33 
1995	6	30 	30 
1996	3	39 	36 
1997	3	27 	27 
1998	2	34 	44 
1999	18	150 	60 
2000	16	152 	88 
2001	7	45 	31 
2002	5	59 	49 
2003	2	42 	32 
2004	17	75 	160 
2005	10	94 	54 
2006	17	160 	75 
2007	17	92 	126 
2008	10	44 	34 
2009	15	144 	114 
2010	15	144 	69 
2011	1	28 	32 
2012	9	60 	60 
2013	5	59 	49 
2014	2	34 	36 
2015	6	42 	72 
2016	16	104 	104 
2017	3	48 	42 
2018	14	108 	150 
2019	8	48 	80 
2020	12	60 	108 
2021	4	64 	64 
2022	18	150 	150 
2023	9	78 	105 
2024	6	78 	78 
2025	14	122 	80 
2026	3	39 	54 
2027	6	30 	60 
2028	2	36 	38 
2029	17	41 	126 
2030	17	75 	75 
2031	1	30 	32 
2032	12	144 	120 
2033	12	84 	120 
2034	4	32 	40 
2035	7	80 	66 
2036	1	29 	25 
2037	10	64 	94 
2038	6	84 	78 
2039	13	128 	63 
2040	2	30 	32 
2041	5	44 	74 
2042	11	134 	57 
2043	17	58 	92 
2044	1	32 	33 
2045	18	42 	42 
2046	6	48 	60 
2047	8	72 	80 
2048	18	204 	168 
2049	6	60 	42 
2050	9	105 	60 
2051	16	184 	136 
2052	16	72 	136 
2053	1	27 	33 
2054	3	33 	30 
2055	7	80 	66 
2056	12	36 	60 
2057	17	126 	41 
2058	13	128 	76 
2059	6	48 	36 
2060	3	36 	54 
2061	5	59 	34 
2062	17	126 	126 
2063	9	60 	114 
2064	9	69 	96 
2065	12	96 	144 
2066	5	34 	74 
2067	14	66 	66 
2068	6	84 	72 
2069	11	90 	123 
2070	1	29 	26 
2071	12	120 	96 
2072	3	48 	39 
2073	17	143 	177 
2074	4	52 	56 
2075	1	30 	25 
2076	4	52 	52 
2077	11	123 	68 
2078	15	114 	144 
2079	2	32 	40 
2080	2	36 	38 
2081	13	154 	115 
2082	14	80 	38 
2083	10	74 	44 
2084	8	88 	40 
2085	15	144 	144 
2086	11	35 	112 
2087	1	30 	30 
2088	18	60 	60 
2089	11	79 	35 
2090	15	144 	39 
2091	10	104 	94 
2092	7	45 	66 
2093	18	78 	186 
2094	7	73 	73 
2095	13	102 	154 
2096	6	42 	30 
2097	12	60 	36 
2098	2	44 	44 
2099	13	76 	141 
2100	17	92 	41 
2101	2	40 	42 
2102	17	143 	160 
2103	3	54 	54 
2104	17	92 	160 
2105	10	84 	114 
2106	6	60 	30 
2107	15	69 	174 
2108	13	76 	63 
2109	6	30 	48 
2110	8	80 	72 
2111	4	36 	32 
2112	17	143 	92 
2113	15	54 	39 
2114	1	31 	27 
2115	2	32 	28 
2116	3	51 	36 
2117	6	30 	48 
2118	8	88 	40 
2119	8	64 	104 
2120	8	32 	88 
2121	4	60 	60 
2122	14	66 	38 
2123	6	60 	78 
2124	11	134 	101 
2125	12	132 	96 
2126	1	28 	29 
2127	8	48 	40 
2128	7	73 	73 
2129	3	30 	33 
2130	11	57 	123 
2131	17	41 	41 
2132	12	72 	72 
2133	12	120 	60 
2134	8	80 	88 
2135	12	120 	108 
2136	15	84 	69 
2137	12	48 	120 
2138	7	52 	66 
2139	2	28 	36 
2140	12	96 	36 
2141	1	31 	33 
2142	7	80 	38 
2143	12	84 	48 
2144	2	34 	38 
2145	16	72 	104 
2146	11	46 	101 
2147	13	102 	76 
2148	13	154 	128 
2149	12	84 	132 
2150	6	42 	60 
2151	9	105 	60 
2152	6	54 	72 
2153	1	25 	29 
2154	3	45 	27 
2155	8	64 	56 
2156	13	63 	37 
2157	12	36 	108 
2158	12	132 	48 
2159	14	136 	80 
2160	3	48 	27 
2161	2	32 	28 
2162	5	64 	29 
2163	12	120 	144 
2164	1	31 	27 
2165	12	108 	144 
2166	7	38 	45 
2167	3	42 	30 
2168	1	31 	32 
2169	6	72 	84 
2170	15	129 	69 
2171	6	30 	30 
2172	7	94 	52 
2173	17	58 	160 
2174	14	94 	164 
2175	10	54 	64 
2176	5	64 	74 
2177	16	72 	136 
2178	17	75 	58 
2179	18	78 	150 
2180	14	164 	150 
2181	13	37 	128 
2182	17	58 	58 
2183	16	40 	184 
2184	7	31 	73 
2185	18	114 	132 
2186	12	60 	36 
2187	16	40 	88 
2188	10	74 	64 
2189	1	29 	25 
2190	12	120 	132 
2191	4	28 	32 
2192	7	80 	73 
2193	13	37 	141 
2194	15	159 	54 
2195	6	42 	60 
2196	12	48 	120 
2197	3	42 	51 
2198	7	94 	59 
2199	2	30 	36 
2200	14	38 	80 
2201	9	96 	69 
2202	4	32 	32 
2203	1	34 	28 
2204	15	159 	99 
2205	11	134 	35 
2206	14	80 	136 
2207	17	160 	109 
2208	6	60 	30 
2209	12	96 	132 
2210	3	27 	30 
2211	4	60 	28 
2212	9	96 	96 
2213	5	39 	39 
2214	7	80 	80 
2215	8	88 	40 
2216	1	30 	27 
2217	2	36 	34 
2218	11	68 	57 
2219	18	186 	96 
2220	6	84 	84 
2221	4	60 	32 
2222	9	78 	114 
2223	3	36 	36 
2224	14	136 	164 
2225	11	90 	35 
2226	18	96 	150 
2227	2	38 	38 
2228	10	114 	84 
2229	14	108 	66 
2230	5	69 	74 
2231	7	38 	38 
2232	5	39 	59 
2233	16	184 	136 
2234	11	112 	79 
2235	13	102 	63 
2236	2	32 	36 
2237	4	44 	28 
2238	11	123 	79 
2239	7	66 	80 
2240	7	73 	45 
2241	16	120 	104 
2242	7	80 	87 
2243	4	28 	32 
2244	10	84 	104 
2245	7	66 	45 
2246	5	54 	29 
2247	13	102 	154 
2248	6	78 	48 
2249	18	96 	204 
2250	15	159 	129 
2251	3	36 	42 
2252	12	108 	96 
2253	6	84 	78 
2254	5	64 	29 
2255	4	52 	44 
2256	2	40 	28 
2257	5	39 	29 
2258	9	78 	114 
2259	9	33 	78 
2260	18	186 	60 
2261	13	115 	141 
2262	11	57 	90 
2263	3	51 	51 
2264	10	64 	54 
2265	13	128 	141 
2266	7	94 	66 
2267	17	41 	75 
2268	13	128 	102 
2269	14	164 	52 
2270	16	168 	184 
2271	4	52 	60 
2272	6	42 	54 
2273	2	42 	44 
2274	2	44 	38 
2275	1	28 	28 
2276	14	122 	52 
2277	11	46 	134 
2278	13	102 	141 
2279	1	34 	28 
2280	9	96 	78 
2281	8	80 	48 
2282	10	74 	64 
2283	8	48 	56 
2284	9	60 	33 
2285	16	104 	56 
2286	2	32 	40 
2287	15	54 	114 
2288	5	34 	39 
2289	12	60 	48 
2290	14	94 	150 
2291	6	60 	42 
2292	5	34 	39 
2293	9	105 	114 
2294	3	27 	30 
2295	10	34 	54 
2296	3	48 	33 
2297	18	114 	150 
2298	14	136 	94 
2299	11	35 	90 
2300	8	72 	104 
2301	17	126 	126 
2302	16	104 	104 
2303	12	60 	84 
2304	8	40 	104 
2305	16	72 	56 
2306	6	78 	36 
2307	13	141 	102 
2308	14	108 	108 
2309	9	105 	78 
2310	14	150 	38 
2311	14	66 	164 
2312	9	105 	87 
2313	5	44 	59 
2314	8	72 	48 
2315	18	132 	132 
2316	10	94 	94 
2317	3	39 	54 
2318	18	60 	42 
2319	3	39 	48 
2320	5	54 	69 
2321	12	48 	84 
2322	16	136 	184 
2323	18	150 	96 
2324	6	48 	78 
2325	3	45 	54 
2326	7	38 	80 
2327	9	60 	42 
2328	7	31 	45 
2329	11	57 	57 
2330	8	32 	56 
2331	7	45 	80 
2332	18	150 	78 
2333	10	114 	54 
2334	2	38 	38 
2335	5	64 	29 
2336	16	104 	120 
2337	12	72 	144 
2338	2	40 	28 
2339	13	89 	128 
2340	14	150 	94 
2341	13	141 	50 
2342	6	36 	42 
2343	10	64 	54 
2344	16	136 	120 
2345	6	36 	84 
2346	13	50 	37 
2347	1	33 	30 
2348	3	36 	42 
2349	2	44 	40 
2350	8	56 	88 
2351	6	78 	36 
2352	2	26 	26 
2353	9	51 	42 
2354	14	66 	150 
2355	12	96 	36 
2356	7	87 	59 
2357	6	78 	60 
2358	4	32 	60 
2359	3	45 	27 
2360	15	39 	144 
2361	18	60 	114 
2362	11	123 	46 
2363	3	30 	51 
2364	17	177 	143 
2365	9	33 	51 
2366	1	30 	32 
2367	6	66 	60 
2368	6	60 	42 
2369	4	52 	40 
2370	2	26 	32 
2371	10	54 	34 
2372	8	88 	72 
2373	5	59 	64 
2374	2	30 	40 
2375	2	32 	26 
2376	11	35 	46 
2377	17	92 	126 
2378	8	80 	96 
2379	14	122 	108 
2380	17	194 	194 
2381	16	168 	56 
2382	5	59 	29 
2383	16	152 	168 
2384	15	159 	99 
2385	7	80 	38 
2386	7	73 	80 
2387	9	87 	105 
2388	9	78 	114 
2389	3	39 	27 
2390	8	32 	56 
2391	6	48 	60 
2392	2	40 	28 
2393	16	88 	88 
2394	11	101 	123 
2395	7	45 	52 
2396	1	30 	33 
2397	17	92 	75 
2398	13	89 	50 
2399	8	104 	80 
2400	3	54 	27 
2401	15	69 	144 
2402	10	64 	44 
2403	1	34 	30 
2404	11	46 	79 
2405	15	114 	174 
2406	2	42 	44 
2407	13	141 	89 
2408	1	31 	28 
2409	5	69 	29 
2410	14	164 	150 
2411	10	74 	34 
2412	10	104 	104 
2413	1	25 	25 
2414	5	64 	59 
2415	17	58 	92 
2416	3	39 	51 
2417	1	34 	25 
2418	6	48 	36 
2419	7	59 	59 
2420	11	134 	123 
2421	8	32 	104 
2422	2	28 	34 
2423	15	174 	159 
2424	12	60 	132 
2425	7	59 	52 
2426	13	76 	154 
2427	10	74 	44 
2428	11	90 	123 
2429	5	54 	74 
2430	13	141 	154 
2431	17	160 	75 
2432	4	56 	44 
2433	5	44 	34 
2434	12	144 	96 
2435	14	52 	136 
2436	13	115 	89 
2437	16	120 	104 
2438	11	112 	123 
2439	5	29 	49 
2440	18	96 	96 
2441	17	177 	160 
2442	15	159 	39 
2443	10	44 	94 
2444	11	123 	123 
2445	11	35 	68 
2446	17	75 	194 
2447	9	114 	51 
2448	1	30 	25 
2449	18	42 	78 
2450	1	25 	34 
2451	1	27 	28 
2452	11	35 	35 
2453	17	92 	75 
2454	7	31 	52 
2455	14	52 	150 
2456	7	73 	38 
2457	6	54 	84 
2458	12	132 	36 
2459	11	112 	134 
2460	5	74 	59 
2461	2	30 	26 
2462	15	69 	69 
2463	12	120 	108 
2464	14	80 	136 
2465	7	38 	87 
2466	7	52 	87 
2467	15	144 	39 
2468	1	28 	30 
2469	15	129 	114 
2470	12	60 	48 
2471	11	123 	68 
2472	5	39 	34 
2473	11	46 	46 
2474	6	42 	48 
2475	7	73 	59 
2476	8	80 	96 
2477	16	152 	152 
2478	1	34 	32 
2479	10	114 	124 
2480	13	63 	37 
2481	13	76 	115 
2482	9	96 	96 
2483	5	44 	69 
2484	15	69 	69 
2485	12	132 	36 
2486	18	204 	168 
2487	6	36 	48 
2488	13	37 	37 
2489	18	60 	168 
2490	5	69 	69 
2491	10	54 	44 
2492	1	26 	32 
2493	11	101 	112 
2494	4	60 	60 
2495	16	72 	72 
2496	6	42 	84 
2497	4	28 	44 
2498	12	36 	36 
2499	9	105 	33 
2500	15	69 	99 
2501	3	27 	36 
2502	18	78 	132 
2503	15	159 	54 
2504	10	54 	74 
2505	11	79 	123 
2506	1	30 	27 
2507	2	28 	26 
2508	8	64 	104 
2509	16	88 	88 
2510	10	74 	104 
2511	16	120 	88 
2512	1	33 	27 
2513	5	44 	34 
2514	17	194 	177 
2515	2	30 	32 
2516	8	96 	48 
2517	17	177 	41 
2518	2	26 	26 
2519	17	58 	58 
2520	5	49 	49 
2521	5	69 	74 
2522	2	34 	40 
2523	8	64 	104 
2524	8	72 	40 
2525	9	114 	87 
2526	12	144 	72 
2527	18	132 	186 
2528	8	32 	40 
2529	4	48 	60 
2530	6	30 	48 
2531	15	69 	39 
2532	17	58 	194 
2533	15	129 	174 
2534	8	72 	72 
2535	7	73 	94 
2536	6	60 	84 
2537	1	34 	25 
2538	6	84 	30 
2539	17	177 	177 
2540	16	168 	88 
2541	4	44 	64 
2542	13	102 	63 
2543	13	50 	63 
2544	17	126 	160 
2545	14	122 	164 
2546	3	48 	39 
2547	17	41 	126 
2548	10	64 	114 
2549	3	48 	42 
2550	11	123 	35 
2551	18	114 	96 
2552	5	69 	59 
2553	8	40 	32 
2554	5	74 	34 
2555	6	36 	84 
2556	17	41 	75 
2557	12	72 	96 
2558	17	160 	41 
2559	3	36 	39 
2560	18	204 	42 
2561	3	33 	36 
2562	7	73 	66 
2563	18	114 	150 
2564	4	56 	64 
2565	17	109 	194 
2566	3	27 	48 
2567	8	32 	96 
2568	13	154 	141 
2569	12	84 	72 
2570	12	144 	60 
2571	10	94 	34 
2572	15	144 	54 
2573	1	32 	26 
2574	5	74 	29 
2575	18	132 	204 
2576	13	50 	89 
2577	18	168 	60 
2578	11	134 	90 
2579	12	120 	144 
2580	7	73 	94 
2581	3	51 	51 
2582	2	30 	26 
2583	5	74 	44 
2584	3	45 	54 
2585	17	109 	160 
2586	4	64 	36 
2587	2	40 	40 
2588	1	34 	30 
2589	6	48 	54 
2590	1	32 	26 
2591	12	132 	48 
2592	5	39 	64 
2593	10	114 	104 
2594	1	25 	28 
2595	6	66 	48 
2596	7	52 	45 
2597	9	96 	33 
2598	7	73 	94 
2599	5	74 	59 
2600	11	57 	46 
2601	13	63 	154 
2602	15	159 	144 
2603	13	63 	154 
2604	1	27 	31 
2605	9	42 	33 
2606	7	73 	73 
2607	1	26 	29 
2608	2	34 	38 
2609	10	74 	114 
2610	12	144 	36 
2611	8	72 	40 
2612	7	38 	31 
2613	15	114 	174 
2614	12	108 	60 
2615	7	31 	94 
2616	18	150 	96 
2617	7	45 	94 
2618	12	36 	132 
2619	4	48 	48 
2620	7	94 	52 
2621	3	42 	45 
2622	16	120 	72 
2623	7	59 	94 
2624	10	124 	54 
2625	12	84 	84 
2626	7	80 	66 
2627	15	144 	99 
2628	9	51 	69 
